"nome","resumo","coordenador"
"MONITORIA DE CONSTRUÇÃO DE ALGORITMOS","Em breve este conteúdo estará disponível.","Adriana Aparicio Sicsú Ayres Do Nascimento "
"PORTAL WEB DE DIVULGAÇÃO E ACOMPANHAMENTO DE PROJETOS DE INICIAÇÃO CIENTÍFICA DOS DEPT. DA UERJ - ZO","Em breve este conteúdo estará disponível.","Adriana Aparicio Sicsú Ayres Do Nascimento "
"VIVENCIANDO O DESENVOLVIMENTO DE SOFTWARE","Em breve este conteúdo estará disponível.","Adriana Aparicio Sicsú Ayres Do Nascimento "
"APLICAÇÃO DA VIDEOANÁLISE NO ENSINO DE FÍSICA","Em breve este conteúdo estará disponível.","Alan Freitas Machado "
"PROTOCOLOS DE APLICAÇÃO E DASBOARDS PARA INTERNET DAS COISAS (IOT)","Em breve este conteúdo estará disponível.","Alexandre Sztajnberg "
"A ENGENHARIA DE COMPUTAÇÃO NA SOLUÇÃO DE PROBLEMAS AMBIENTAIS","Em breve este conteúdo estará disponível.","Anderson Amendoeira Namen "
"MODELOS INTELIGENTES PARA A CARACTERIZAÇÃO LITOLÓGICA DE POÇOS DE PETRÓLEO","Em breve este conteúdo estará disponível.","Camila Martins Saporetti "
"MONITORIA EM ARQUITETURA DE COMPUTADORES","Em breve este conteúdo estará disponível.","Carlos Alberto Alves Lemos "
"DESENVOLVIMENTO DE FERRAMENTAS E LABORATÓRIOS PARA O ENSINO DE ORG. E ARQ. DE COMP. E AUTOMAÇÃO","Em breve este conteúdo estará disponível.","Carlos Alberto Alves Lemos "
"MONITORIA - DISPOSITIVOS MÓVEIS E SISTEMAS EMBARCADOS.","Em breve este conteúdo estará disponível.","Carlos Augusto Sicsú Ayres Do Nascimento "
"MONITORIA - PROGRAMAÇÃO ORIENTADA A OBJETOS I (CIÊNCIA DA COMPUTAÇÃO).","Em breve este conteúdo estará disponível.","Carlos Augusto Sicsú Ayres Do Nascimento "
"MONITORIA - PROGRAMAÇÃO ORIENTADA A OBJETOS I (TECNO. EM ANÁLISE E DSENVOLVIMENTO DE SISTEMAS).","Em breve este conteúdo estará disponível.","Carlos Augusto Sicsú Ayres Do Nascimento "
"APLICATIVO MÓVEL PESSOAL PARA MONITORAMENTO E CONTROLE DE MEDICAMENTOS.","Em breve este conteúdo estará disponível.","Carlos Augusto Sicsú Ayres Do Nascimento "
"O MERCADO E OS NOVOS DESENVOLVEDORES.","Em breve este conteúdo estará disponível.","Carlos Augusto Sicsú Ayres Do Nascimento "
"MONITORIA MATEMÁTICA BÁSICA","Em breve este conteúdo estará disponível.","Cristiane Leitão Da Silva "
"SISTEMA DE AVALIAÇÃO DA QUALIDADE REGIONAL DO ENSINO","Em breve este conteúdo estará disponível.","Denis Gonçalves Cople "
"LABORATÓRIO DE JOGOS EDUCACIONAIS","Em breve este conteúdo estará disponível.","Denis Gonçalves Cople "
"MONITORIA DE CONSTRUÇÃO DE ALGORITMOS","Em breve este conteúdo estará disponível.","Eugênio Da Silva "
"SOLUÇÕES INTELIGENTES UTILIZANDO VISÃO COMPUTACIONAL PARA DETECÇÃO DE INFRAÇÕES DE TRÂNSITO","Em breve este conteúdo estará disponível.","Fernando Rodrigues Trindade Ferreira "
